3019842362 = Verdict: Unsolved ; Iters: 10514479 ; Length: -1
3019906367 = Verdict: Solved ; Iters: 3189951 ; Length: 130
3019932231 = Verdict: Solved ; Iters: 12860885 ; Length: 176
3019946861 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3019965220 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3020012823 = Verdict: Unsolved ; Iters: 9131854 ; Length: -1
3020096525 = Verdict: Unsolved ; Iters: 402901 ; Length: -1
3020213333 = Verdict: Solved ; Iters: 753 ; Length: 126
3020238512 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3020376517 = Verdict: Unsolved ; Iters: 1095021 ; Length: -1
3020480953 = Verdict: Unsolved ; Iters: 2567827 ; Length: -1
3020486013 = Verdict: Unsolved ; Iters: 8628171 ; Length: -1
3020493054 = Verdict: Solved ; Iters: 3935470 ; Length: 118
3020501971 = Verdict: Unsolved ; Iters: 12928880 ; Length: -1
3020530793 = Verdict: Unsolved ; Iters: 2210014 ; Length: -1
3020563122 = Verdict: Unsolved ; Iters: 673282 ; Length: -1
3020571111 = Verdict: Unsolved ; Iters: 1798236 ; Length: -1
3020582997 = Verdict: Unsolved ; Iters: 5481225 ; Length: -1
3020728308 = Verdict: Solved ; Iters: 3423341 ; Length: 130
3020896398 = Verdict: Solved ; Iters: 32037 ; Length: 125
3020896732 = Verdict: Unsolved ; Iters: 3456250 ; Length: -1
3020962999 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3020969679 = Verdict: Unsolved ; Iters: 3760755 ; Length: -1
3021009915 = Verdict: Solved ; Iters: 420027 ; Length: 157
3021173089 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3021195021 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3021242874 = Verdict: Unsolved ; Iters: 5102158 ; Length: -1
3021290872 = Verdict: Unsolved ; Iters: 5865369 ; Length: -1
3021312701 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3021318773 = Verdict: Solved ; Iters: 554131 ; Length: 142
3021336441 = Verdict: Solved ; Iters: 84573 ; Length: 132
3021371618 = Verdict: Solved ; Iters: 534038 ; Length: 125
3021549348 = Verdict: Solved ; Iters: 4433363 ; Length: 129
3021611332 = Verdict: Unsolved ; Iters: 106453 ; Length: -1
3021630371 = Verdict: Solved ; Iters: 4040333 ; Length: 133
3021664793 = Verdict: Unsolved ; Iters: 4638889 ; Length: -1
3021695748 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3021695842 = Verdict: Solved ; Iters: 474511 ; Length: 138
3021717263 = Verdict: Unsolved ; Iters: 1429302 ; Length: -1
3021875897 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3021948039 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022144922 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022228199 = Verdict: Unsolved ; Iters: 10248477 ; Length: -1
3022246838 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022430143 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022451894 = Verdict: Solved ; Iters: 975504 ; Length: 138
3022459782 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022466324 = Verdict: Solved ; Iters: 8340274 ; Length: 123
3022470809 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022559950 = Verdict: Solved ; Iters: 472801 ; Length: 122
3022565432 = Verdict: Unsolved ; Iters: 4849139 ; Length: -1
3022590733 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022759045 = Verdict: Unsolved ; Iters: 3128663 ; Length: -1
3022813617 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3022956968 = Verdict: Solved ; Iters: 139543 ; Length: 129
3023031966 = Verdict: Solved ; Iters: 343918 ; Length: 128
